# Data export from the Cosmic-Ray database (http://lpsc.in2p3.fr/crdb)
# Please cite Maurin, Melot, Taillet, arXiv:1302.5525
# Date: 2015/05/19
# Format: GALPROP code (see at the bottom of the file)
#
  Ref.  experiment    units              value        Energy        value error                  Z.A sec   |     Z.A pri    [comments]
X      Y              name   <E>   low    high number    -        +
==================================================================================================================================== 
  Ad12 PAMELA(2006/07-2009/12)                       GeV 1/m2/sr/GeV flux  3.8000e+1  3.0776e+1  4.7571e+1  1.2200e-4  1.6000e-5  1.6000e-5  a 0.0 0.0 0.0         | 0.1 0.0 0.0         1H-bar                              
  Ad12 PAMELA(2006/07-2009/12)                       GeV 1/m2/sr/GeV flux  6.7400e+1  4.7571e+1  9.9066e+1  2.5000e-5  5.0000e-6  5.0000e-6  a 0.0 0.0 0.0         | 0.1 0.0 0.0         1H-bar                              
  Ad12 PAMELA(2006/07-2009/12)                       GeV 1/m2/sr/GeV flux  1.2890e+2  9.9066e+1  1.7906e+2  4.5000e-6  1.9000e-6  3.7000e-6  a 0.0 0.0 0.0         | 0.1 0.0 0.0         1H-bar                              
  Ad12 PAMELA(2006/07-2009/12)                       GeV none        ratio 2.8000e-1  1.2491e-1  4.4030e-1  4.5000e-6  1.2000e-6  1.6000e-6  a 1.1 0.0 0.0         | 0.1 0.0 0.0         1H-bar/1H                           
  Ad12 PAMELA(2006/07-2009/12)                       GeV none        ratio 5.6000e-1  4.4030e-1  6.9756e-1  6.6000e-6  1.3000e-6  1.3000e-6  a 1.1 0.0 0.0         | 0.1 0.0 0.0         1H-bar/1H                           
  Ad12 PAMELA(2006/07-2009/12)                       GeV none        ratio 8.1000e-1  6.9756e-1  9.4249e-1  1.2900e-5  2.2000e-6  2.2000e-6  a 1.1 0.0 0.0         | 0.1 0.0 0.0         1H-bar/1H                           
  Ad12 PAMELA(2006/07-2009/12)                       GeV none        ratio 1.0700e+0  9.4249e-1  1.2077e+0  1.9600e-5  2.6000e-6  2.6000e-6  a 1.1 0.0 0.0         | 0.1 0.0 0.0         1H-bar/1H                           
  Ad12 PAMELA(2006/07-2009/12)                       GeV none        ratio 1.3400e+0  1.2077e+0  1.4811e+0  2.8000e-5  3.2000e-6  3.2000e-6  a 1.1 0.0 0.0         | 0.1 0.0 0.0         1H-bar/1H                           
  Ad12 PAMELA(2006/07-2009/12)                       GeV none        ratio 1.6300e+0  1.4811e+0  1.8070e+0  3.3200e-5  3.3000e-6  3.3000e-6  a 1.1 0.0 0.0         | 0.1 0.0 0.0         1H-bar/1H                           
  Ad12 PAMELA(2006/07-2009/12)                       GeV none        ratio 2.0300e+0  1.8070e+0  2.1955e+0  5.4500e-5  4.4000e-6  4.4000e-6  a 1.1 0.0 0.0         | 0.1 0.0 0.0         1H-bar/1H                           
  Ad12 PAMELA(2006/07-2009/12)                       GeV none        ratio 2.4200e+0  2.1955e+0  2.6370e+0  5.9300e-5  4.5000e-6  4.5000e-6  a 1.1 0.0 0.0         | 0.1 0.0 0.0         1H-bar/1H                           
  Ad12 PAMELA(2006/07-2009/12)                       GeV none        ratio 2.9000e+0  2.6370e+0  3.1606e+0  7.5000e-5  5.5000e-6  5.5000e-6  a 1.1 0.0 0.0         | 0.1 0.0 0.0         1H-bar/1H                           
  Ad12 PAMELA(2006/07-2009/12)                       GeV none        ratio 3.4700e+0  3.1606e+0  3.7760e+0  8.4800e-5  6.0000e-6  6.0000e-6  a 1.1 0.0 0.0         | 0.1 0.0 0.0         1H-bar/1H                           
  Ad12 PAMELA(2006/07-2009/12)                       GeV none        ratio 4.1400e+0  3.7760e+0  4.5032e+0  1.0900e-4  7.0000e-6  7.0000e-6  a 1.1 0.0 0.0         | 0.1 0.0 0.0         1H-bar/1H                           
  Ad12 PAMELA(2006/07-2009/12)                       GeV none        ratio 4.9300e+0  4.5032e+0  5.3620e+0  1.2000e-4  8.0000e-6  8.0000e-6  a 1.1 0.0 0.0         | 0.1 0.0 0.0         1H-bar/1H                           
  Ad12 PAMELA(2006/07-2009/12)                       GeV none        ratio 5.9000e+0  5.3620e+0  6.4218e+0  1.4100e-4  1.0000e-5  1.0000e-5  a 1.1 0.0 0.0         | 0.1 0.0 0.0         1H-bar/1H                           
